personId,name,birthYear,deathYear
nm0465745,Arnold Kopelson,1935,2018
nm0006290,Howard Shore,1946,NULL
nm0451787,Darius Khondji,1955,NULL
nm0156816,Richard Chew,1940,NULL
nm0000027,Alec Guinness,1914,2000
nm0852405,Gilbert Taylor,1914,2013
nm0003817,Michael Clarke Duncan,1957,2012
nm0001556,David Morse,1953,NULL
nm0001372,Bonnie Hunt,1961,NULL
nm0883603,David Valdes,1950,NULL
nm0005897,David Tattersall,1960,NULL
nm0645777,Atsushi Okui,NULL,NULL
nm0153738,Daveigh Chase,1990,NULL
nm0687189,Suzanne Pleshette,1937,2008
nm0997115,Miyu Irino,1988,NULL
nm0383708,Rumi Hiiragi,1987,NULL
nm0594503,Hayao Miyazaki,1941,NULL
nm0259689,Donald W. Ernst,1934,2023
nm0005124,John Lasseter,1957,NULL
nm0840699,Toshio Suzuki,1948,NULL
nm0386749,Joe Hisaishi,1950,NULL
nm0887227,Hoyte Van Hoytema,1971,NULL
nm0000190,Matthew McConaughey,1969,NULL
nm0004266,Anne Hathaway,1982,NULL
nm1567113,Jessica Chastain,1977,NULL
nm3237775,Mackenzie Foy,2000,NULL
nm0643553,Lynda Obst,NULL,NULL
nm0620014,Asakazu Nakai,1901,1988
nm0001536,Toshirô Mifune,1920,1997
nm0793766,Takashi Shimura,1905,1982
nm0875477,Keiko Tsushima,1926,2012
nm0793616,Yukiko Shimazaki,1931,NULL
nm0000041,Akira Kurosawa,1910,1998
nm0644823,Hideo Oguni,1904,1996
nm0609404,Sôjirô Motoki,1914,1977
nm0370593,Fumio Hayasaka,1914,1955
nm0374189,Alan Heim,1936,NULL
nm0000350,Beverly D'Angelo,1951,NULL
nm0000497,Jennifer Lien,1974,NULL
nm0443411,Tony Kaye,1952,NULL
nm0571346,David McKenna,1968,NULL
nm0554204,John Morrissey,NULL,NULL
nm0006050,Anne Dudley,1956,NULL
nm0338513,Gerald B. Greenberg,1936,2017
nm0004637,Harry Keramidas,1940,NULL
nm0000150,Michael J. Fox,1961,NULL
nm0000502,Christopher Lloyd,1938,NULL
nm0000670,Lea Thompson,1961,NULL
nm0000417,Crispin Glover,1964,NULL
nm0301826,Bob Gale,1951,NULL
nm0134635,Neil Canton,1948,NULL
nm0006293,Alan Silvestri,1950,NULL
nm0005678,Dean Cundey,1946,NULL
nm0019706,Joan Alison,1901,1992
nm0000007,Humphrey Bogart,1899,1957
nm0000006,Ingrid Bergman,1915,1982
nm0002134,Paul Henreid,1908,1992
nm0001647,Claude Rains,1889,1967
nm0002031,Michael Curtiz,1886,1962
nm0258493,Julius J. Epstein,1909,2000
nm0258525,Philip G. Epstein,1909,1952
nm0462321,Howard Koch,1901,1995
nm0122417,Murray Burnett,1910,1997
nm0004384,Wojciech Kilar,1932,2013
nm0004778,Adrien Brody,1973,NULL
nm0470981,Thomas Kretschmann,1962,NULL
nm0277975,Frank Finlay,1926,2016
nm0288976,Emilia Fox,1974,NULL
nm0000591,Roman Polanski,1933,NULL
nm0367838,Ronald Harwood,1934,2020
nm0844262,Wladyslaw Szpilman,1911,2000
nm0071452,Robert Benmussa,NULL,NULL
nm0764963,Alain Sarde,1952,NULL
nm0786707,Takeshi Seyama,NULL,NULL
nm0851302,Tsutomu Tatsumi,NULL,NULL
nm0794186,Ayano Shiraishi,NULL,NULL
nm0945312,Akemi Yamaguchi,NULL,NULL
nm0794002,Yoshiko Shinohara,NULL,NULL
nm0847223,Isao Takahata,1935,2018
nm0636435,Akiyuki Nosaka,1930,2015
nm0361701,Tôru Hara,1935,NULL
nm2197915,Michio Mamiya,1929,NULL
nm0468710,Nobuo Koyama,NULL,NULL
nm0000314,Charles Bronson,1921,2003
nm0001012,Claudia Cardinale,1938,NULL
nm0001673,Jason Robards,1922,2000
nm0006872,Sergio Donati,1933,NULL
nm0000783,Dario Argento,1940,NULL
nm0000934,Bernardo Bertolucci,1941,2018
nm0607694,Fulvio Morsella,NULL,2002
nm3225654,Justin Hurwitz,1985,NULL
nm1886602,Miles Teller,1987,NULL
nm0799777,J.K. Simmons,1955,NULL
nm2552034,Melissa Benoist,1988,NULL
nm0001663,Paul Reiser,1956,NULL
nm3227090,Damien Chazelle,1985,NULL
nm0089658,Jason Blum,1969,NULL
nm2615685,Helen Estabrook,NULL,NULL
nm0484123,David Lancaster,NULL,NULL
nm1490949,Michel Litvak,NULL,NULL
nm0926824,Douglas Wick,NULL,NULL
nm0000128,Russell Crowe,1964,NULL
nm0001618,Joaquin Phoenix,1974,NULL
nm0001567,Connie Nielsen,1965,NULL
nm0001657,Oliver Reed,1938,1999
nm0000631,Ridley Scott,1937,NULL
nm0291905,David Franzoni,1947,NULL
nm0517589,John Logan,1961,NULL
nm0629933,William Nicholson,1948,NULL
nm0866462,George Tomasini,1909,1964
nm0000578,Anthony Perkins,1932,1992
nm0001463,Janet Leigh,1927,2004
nm0587256,Vera Miles,1929,NULL
nm0001260,John Gavin,1931,2018
nm0000033,Alfred Hitchcock,1899,1980
nm0825010,Joseph Stefano,1922,2006
nm0088645,Robert Bloch,1917,1994
nm0002136,Bernard Herrmann,1911,1975
nm0005852,John L. Russell,1905,1967
nm0191896,Howard Cummings,NULL,NULL
nm0000321,Gabriel Byrne,1950,NULL
nm0001590,Chazz Palminteri,1952,NULL
nm0000286,Stephen Baldwin,1966,NULL
nm0001741,Bryan Singer,1965,NULL
nm0003160,Christopher McQuarrie,1968,NULL
nm0568120,Michael McDonnell,NULL,NULL
nm0653211,John Ottman,1964,NULL
nm0005875,Newton Thomas Sigel,1955,NULL
nm0454752,Graham King,1961,NULL
nm0000242,Mark Wahlberg,1971,NULL
nm1184258,William Monahan,1960,NULL
nm0538320,Alan Mak,1965,NULL
nm0159039,Felix Chong,1968,NULL
nm0340522,Brad Grey,1957,2017
nm0560329,Burny Mattinson,1935,2023
nm0000111,Matthew Broderick,1962,NULL
nm0000460,Jeremy Irons,1948,NULL
nm0000469,James Earl Jones,1931,NULL
nm0000155,Whoopi Goldberg,1955,NULL
nm0021249,Roger Allers,NULL,NULL
nm0591450,Rob Minkoff,1962,NULL
nm0575293,Irene Mecchi,1949,NULL
nm0731271,Jonathan Roberts,NULL,NULL
nm0941314,Linda Woolverton,1952,NULL
nm1133525,Yann Zenou,NULL,NULL
nm0167388,François Cluzet,1955,NULL
nm1082477,Omar Sy,1978,NULL
nm0494504,Anne Le Ny,1962,NULL
nm1109153,Audrey Fleurot,1977,NULL
nm0619923,Olivier Nakache,1973,NULL
nm0865918,Éric Toledano,1971,NULL
nm4778840,Philippe Pozzo di Borgo,1951,NULL
nm1457753,Nicolas Duval Adassovsky,NULL,NULL
nm1552771,Laurent Zeitoun,NULL,NULL
nm0178874,Carmine Coppola,1910,1991
nm0000640,Martin Sheen,1940,NULL
nm0002078,Frederic Forrest,1936,NULL
nm0587518,John Milius,1944,NULL
nm0380282,Michael Herr,1940,2016
nm0175676,Joseph Conrad,1857,1924
nm0041447,Kim Aubry,NULL,NULL
nm0001353,Walter Hill,1942,NULL
nm0000244,Sigourney Weaver,1949,NULL
nm0000643,Tom Skerritt,1933,NULL
nm0000457,John Hurt,1940,2017
nm0001021,Veronica Cartwright,1949,NULL
nm0639321,Dan O'Bannon,1946,2009
nm0795953,Ronald Shusett,1935,NULL
nm0140826,Gordon Carroll,1928,2005
nm0318429,David Giler,1943,2020
nm0000606,Jean Reno,1948,NULL
nm0000198,Gary Oldman,1958,NULL
nm0000204,Natalie Portman,1981,NULL
nm0000732,Danny Aiello,1933,2019
nm0000108,Luc Besson,1959,NULL
nm0785385,Éric Serra,1959,NULL
nm0005636,Thierry Arbogast,1957,NULL
nm0484981,Sylvie Landra,NULL,NULL
nm0917942,Dan Weil,NULL,NULL
nm0000122,Charles Chaplin,1889,1977
nm0156039,Virginia Cherrill,1908,1996
nm5681967,Florence Lee,1864,1933
nm0616729,Harry Myers,1882,1938
nm0139714,Harry Carr,1877,1936
nm0188357,Harry Crocker,1893,1958
nm0689661,Gordon Pollock,1897,1962
nm0005906,Roland Totheroh,1890,1967
nm0305087,Al Ernest Garcia,1887,1938
nm0002104,Paulette Goddard,1910,1990
nm0074788,Henry Bergman,1868,1946
nm0761866,Tiny Sandford,1894,1961
nm0005806,Ira H. Morgan,1889,1959
nm0174682,Chester Conklin,1886,1971
nm0003424,Hank Mann,1887,1971
nm0090008,Stanley Blystone,1894,1956
nm0000038,Grace Kelly,1929,1982
nm0179819,Wendell Corey,1914,1968
nm0728812,Thelma Ritter,1902,1969
nm0371088,John Michael Hayes,1919,2008
nm0941280,Cornell Woolrich,1903,1968
nm0000077,Franz Waxman,1906,1967
nm0122079,Robert Burks,1909,1968
nm0393240,Hong Kyung-pyo,NULL,NULL
nm0814280,Song Kang-ho,1967,NULL
nm1310525,Lee Sun-kyun,1975,NULL
nm1856097,Cho Yeo-jeong,1981,NULL
nm6079248,Choi Woo-sik,1990,NULL
nm0094435,Bong Joon Ho,1969,NULL
nm8243301,Han Jin-won,NULL,NULL
nm10113618,Kwak Sin-ae,NULL,NULL
nm11306825,Moon Yang Kwon,NULL,NULL
nm8885840,Jung Jae-il,NULL,NULL
nm0005721,Blasco Giurato,1941,2022
nm0634159,Philippe Noiret,1930,2006
nm0134073,Enzo Cannavale,1928,2011
nm0041066,Antonella Attili,1963,NULL
nm0199774,Isa Danieli,1937,NULL
nm0868153,Giuseppe Tornatore,1956,NULL
nm0660031,Vanna Paoli,NULL,NULL
nm0188053,Franco Cristaldi,1924,1992
nm0738603,Giovanna Romagnoli,NULL,NULL
nm0432382,David Julyan,NULL,NULL
nm0413168,Hugh Jackman,1968,NULL
nm0424060,Scarlett Johansson,1984,NULL
nm1793993,Christopher Priest,1943,NULL
nm0753083,Aaron Ryder,NULL,NULL
nm0742475,Steven Rosenblum,NULL,NULL
nm0000154,Mel Gibson,1956,NULL
nm0000521,Sophie Marceau,1966,NULL
nm0001526,Patrick McGoohan,1928,2009
nm0005171,Angus Macfadyen,1963,NULL
nm0908824,Randall Wallace,1949,NULL
nm0202704,Bruce Davey,NULL,NULL
nm0480440,Alan Ladd Jr.,1937,2022
nm0000035,James Horner,1953,2015
nm0001799,John Toll,1952,NULL
nm0005911,Jost Vacano,1934,NULL
nm0001638,Jürgen Prochnow,1941,NULL
nm0344963,Herbert Grönemeyer,1956,NULL
nm0921044,Klaus Wennemann,1940,2000
nm0071059,Hubertus Bengsch,1952,NULL
nm0000583,Wolfgang Petersen,1941,2022
nm0118164,Lothar G. Buchheim,1918,2007
nm0007156,Ortwin Freyermuth,NULL,NULL
nm0737582,Günter Rohrbach,1928,NULL
nm0006041,Klaus Doldinger,1936,NULL
nm0005633,John Alcott,1930,1986
nm0001167,Shelley Duvall,1949,NULL
nm0515950,Danny Lloyd,1972,NULL
nm0001079,Scatman Crothers,1910,1986
nm0000040,Stanley Kubrick,1928,1999
nm0424956,Diane Johnson,1934,NULL
nm0137793,Wendy Carlos,1939,NULL
nm0253844,Rachel Elkind,1939,NULL
nm0000261,Karen Allen,1951,NULL
nm0293550,Paul Freeman,1943,NULL
nm0722636,John Rhys-Davies,1944,NULL
nm0442241,Philip Kaufman,1936,NULL
nm0550881,Frank Marshall,1946,NULL
nm0151434,Michael Chandler,NULL,NULL
nm0000719,F. Murray Abraham,1939,NULL
nm0001371,Tom Hulce,1953,NULL
nm0000931,Elizabeth Berridge,1962,NULL
nm0234541,Roy Dotrice,1923,2017
nm0787323,Peter Shaffer,1926,2016
nm0537004,Zdenek Mahler,1928,2018
nm0951763,Saul Zaentz,1921,2014
nm0005816,Miroslav Ondrícek,1934,2015
nm0005036,Gale Anne Hurd,1955,NULL
nm0000299,Michael Biehn,1956,NULL
nm0001343,Carrie Henn,1976,NULL
nm0849083,Tomoyuki Tanaka,1910,1997
nm0755403,Yutaka Sada,1911,2017
nm0434593,Kyôko Kagawa,1931,NULL
nm0452878,Ryûzô Kikushima,1914,1989
nm0386750,Eijirô Hisaita,1898,1976
nm0402805,Evan Hunter,1926,2005
nm0742276,Martin Rosenberg,NULL,NULL
nm0123785,Ben Burtt,1948,NULL
nm2264184,Elissa Knight,1975,NULL
nm0307531,Jeff Garlin,1962,NULL
nm0929609,Fred Willard,1933,2020
nm0004056,Andrew Stanton,1965,NULL
nm0230032,Pete Docter,1968,NULL
nm0714114,Jim Reardon,NULL,NULL
nm0606640,Jim Morris,NULL,NULL
nm4752699,Michel Merkt,1972,NULL
nm9862858,Zain Al Rafeea,2004,NULL
nm9862859,Yordanos Shiferaw,NULL,NULL
nm9862860,Boluwatife Treasure Bankole,NULL,NULL
nm10201625,Kawsar Al Haddad,NULL,NULL
nm1701024,Nadine Labaki,1974,NULL
nm2764802,Jihad Hojeily,NULL,NULL
nm9878616,Michelle Keserwany,NULL,NULL
nm2759610,Georges Khabbaz,NULL,NULL
nm1848588,Khaled Mouzanar,NULL,NULL
nm0177896,Bradley Cooper,1975,NULL
nm5939164,Zazie Beetz,1991,NULL
nm0175814,Frances Conroy,1953,NULL
nm0680846,Todd Phillips,1970,NULL
nm0798788,Scott Silver,NULL,NULL
nm0277730,Bill Finger,1914,1974
nm1047603,Jerry Robinson,1922,2011
nm8823532,Katsuhiro Takei,NULL,NULL
nm1126340,Ryunosuke Kamiki,1993,NULL
nm4759838,Mone Kamishiraishi,1998,NULL
nm6954008,Ryo Narita,1993,NULL
nm2976492,Aoi Yûki,1992,NULL
nm1396121,Makoto Shinkai,1973,NULL
nm1038805,Clark Cheng,NULL,NULL
nm5147232,Kôichirô Itô,NULL,NULL
nm3356206,Noritaka Kawaguchi,NULL,NULL
nm2929057,Genki Kawamura,NULL,NULL
nm0588087,Christopher Miller,1975,NULL
nm4271336,Shameik Moore,1995,NULL
nm2159926,Jake Johnson,1978,NULL
nm2794962,Hailee Steinfeld,1996,NULL
nm0991810,Mahershala Ali,1974,NULL
nm2130108,Bob Persichetti,NULL,NULL
nm0709056,Peter Ramsey,1962,NULL
nm0745247,Rodney Rothman,NULL,NULL
nm0520488,Phil Lord,1975,NULL
nm0032696,Avi Arad,1948,NULL
nm0456158,Jack Kirby,1917,1994
nm0000375,Robert Downey Jr.,1965,NULL
nm0262635,Chris Evans,1981,NULL
nm0749263,Mark Ruffalo,1967,NULL
nm1165110,Chris Hemsworth,1983,NULL
nm0751577,Anthony Russo,1970,NULL
nm0751648,Joe Russo,1971,NULL
nm1321655,Christopher Markus,1970,NULL
nm1321656,Stephen McFeely,1970,NULL
nm0498278,Stan Lee,1922,2018
nm0354916,Grace Hayle,1888,1963
nm0642988,Jack Oakie,1903,1978
nm0306786,Reginald Gardiner,1903,1980
nm0835365,Karl Struss,1886,1981
nm0630119,Willard Nico,1897,1967
nm0199787,Henry Daniell,1894,1963
nm0317970,Billy Gilbert,1894,1971
nm0315974,Michael Giacchino,1967,NULL
nm5645519,Anthony Gonzalez,2004,NULL
nm0305558,Gael García Bernal,1978,NULL
nm0000973,Benjamin Bratt,1963,NULL
nm0005513,Alanna Ubach,1975,NULL
nm0881279,Lee Unkrich,1967,NULL
nm2937122,Adrian Molina,NULL,NULL
nm0441735,Jason Katz,NULL,NULL
nm0017690,Matthew Aldrich,NULL,NULL
nm0026565,Darla K. Anderson,1968,NULL
nm0711235,Fred Raskin,1973,NULL
nm0004937,Jamie Foxx,1967,NULL
nm0910607,Christoph Waltz,1956,NULL
nm0913488,Kerry Washington,1977,NULL
nm0399737,Reginald Hudlin,1961,NULL
nm0767894,Pilar Savone,NULL,NULL
nm0792049,Stacey Sher,1962,NULL
nm0724744,Robert Richardson,1955,NULL
nm0362766,Tom Hardy,1977,NULL
nm0772834,Arthur P. Schmidt,1912,1965
nm0000034,William Holden,1918,1981
nm0841797,Gloria Swanson,1899,1983
nm0002233,Erich von Stroheim,1885,1957
nm0647970,Nancy Olson,1928,NULL
nm0000697,Billy Wilder,1906,2002
nm0102818,Charles Brackett,1892,1969
nm0551261,D.M. Marshman Jr.,1922,2015
nm0005870,John F. Seitz,1892,1979
nm3760517,Atul Raninga,NULL,NULL
nm0451148,Aamir Khan,1965,NULL
nm0534856,Madhavan,1970,NULL
nm1587175,Mona Singh,1981,NULL
nm0004626,Kareena Kapoor,1980,NULL
nm0386246,Rajkumar Hirani,1962,NULL
nm0430785,Abhijat Joshi,NULL,NULL
nm0006765,Vidhu Vinod Chopra,1952,NULL
nm2746459,Chetan Bhagat,1974,NULL
nm0596240,Shantanu Moitra,NULL,NULL
nm0997224,Dong-Joo Kim,NULL,NULL
nm0158856,Choi Min-sik,1962,NULL
nm0949167,Yoo Ji-tae,1976,NULL
nm1367246,Kang Hye-jeong,1982,NULL
nm1366028,Kim Byeong-Ok,1960,NULL
nm0661791,Park Chan-wook,1963,NULL
nm1628380,Garon Tsuchiya,NULL,NULL
nm2057405,Nobuaki Minegishi,NULL,NULL
nm1367409,Joon-hyung Lim,NULL,NULL
nm1369364,Jo-yun Hwang,NULL,NULL
nm0006086,Gerald Fried,1928,2023
nm0000018,Kirk Douglas,1916,2020
nm0576127,Ralph Meeker,1920,1988
nm0579663,Adolphe Menjou,1890,1963
nm0534317,George Macready,1899,1973
nm0932229,Calder Willingham,1922,1995
nm0860292,Jim Thompson,1906,1977
nm0167767,Humphrey Cobb,1899,1944
nm0364805,James B. Harris,1928,NULL
nm0367431,Anthony Harvey,1930,2017
nm0000634,Peter Sellers,1925,1980
nm0001715,George C. Scott,1927,1999
nm0001330,Sterling Hayden,1916,1986
nm0943978,Keenan Wynn,1916,1986
nm0816143,Terry Southern,1924,1995
nm0313570,Peter George,1924,1966
nm0006145,Laurie Johnson,1927,NULL
nm0091686,Hagen Bogdanski,1965,NULL
nm0618057,Ulrich Mühe,1953,2007
